date,author,abstract,title
" 22 February 2019, 25 April 2019","Shuo Guo,Xianmin Xu,Tiezheng Qian,Yana Di,Masao Doi,Penger Tong","The dynamics of spreading of a macroscopic liquid droplet over a wetting surface is often described by a power-law relaxation, namely, the droplet radius increases as , for time ,, which is known as Tanner’s law. Here we show, by both experiments and theory, that when the liquid spreading takes place between a thin soap film and a glass fibre penetrating the film, the spreading is significantly slowed down. When the film thickness , becomes smaller than the fibre diameter ,, the strong hydrodynamic confinement effect of the soap film gives rise to a logarithmic relaxation with fibre creeping time ,. Such a slow dynamics of spreading is observed for hours both in the measured time-dependent height of capillary rise , on the fibre surface and viscous friction coefficient , felt by the glass fibre in contact with the soap film. A new theoretical approach based on the Onsager variational principle is developed to describe the dynamics of thin film spreading along a fibre. The newly derived equations of motion provide the analytical solutions of , and contact angle ,, which are found to be in good agreement with the experimental results. Our work thus provides a common framework for understanding the confinement effect of thin soap films on the dynamics of spreading along a fibre.","
Onset of thin film meniscus along a fibre
 "
" 22 February 2019, 25 April 2019","Y. Kozak,Yi Zeng,Rabih M. Al Ghossein,J. M. Khodadadi,G. Ziskind","The present study deals with a theoretical investigation of a close-contact melting (CCM) process involving a vertical cylinder on a horizontal isothermal surface, where the liquid phase is a non-Newtonian viscoplastic fluid that behaves according to the Bingham model. Accordingly, a new approach is formulated based on the thin layer approximation and different quasi-steady process assumptions. By analytical derivation, an algebraic equation that relates the molten layer thickness and the solid bulk height is developed. The problem is then solved numerically, coupled with another equation for the melting rate. The new model shows that as the yield stress increases the melting rate decreases and the molten layer thickness increases. It is found that under certain conditions, the model can be reduced to a form that allows an analytical solution. The approximate model predicts an exponential dependence of both the melt fraction and the molten layer thickness. Comparison between the numerical and analytical solutions shows that the analytical approximation provides an excellent estimation for sufficiently large values of the yield stress. Dimensional analysis, which is supported by the analytical model results, reveals the dimensionless groups that govern the problem. For the general case, the melt fraction is a function of two dimensionless groups. For the analytical approximation, it is shown that the melt fraction is governed by a single dimensionless group and that the molten layer thickness is governed by two dimensionless groups.","
Close-contact melting on an isothermal surface with the inclusion of non-Newtonian effects
"
" 22 February 2019, 25 April 2019","Wenhu Han,Cheng Wang,Chung K. Law","The role of a transversal concentration gradient in detonation propagation in a two-dimensional channel filled with an , mixture is examined by high-resolution simulation. Results show that, compared to propagation in homogeneous media, a concentration gradient reduces the average detonation velocity because of the delay in reaching downstream reaction equilibrium, leading to a large amount of unreacted , and hence significant species fluctuations. The transversal concentration gradient also enhances the cellular detonation instability. Steepening it reduces considerably the number of triple points on the front, lengthens the global detonation front structure on average and consequently increases the deficit of the average detonation velocity. It is further found that the interaction of the leading shock with the transversal concentration gradient influences the formation of local , bump and thus the unreacted pocket behind the front, while the transverse wave causes mixing and burning of the residue fuel downstream. Nevertheless, for the steepened concentration gradient, a transverse detonation is present and consumes the fuel in the compressed and preheated zone by the leading shock; consequently, the detonation velocity deficit is not increased significantly for detonation with the single-head propagation mode close to the limit.","
Role of transversal concentration gradient in detonation propagation
"
" 20 February 2019, 25 April 2019",Soshi Kawai,"Nominally zero-pressure-gradient fully developed flat-plate turbulent boundary layers with heated and unheated isothermal walls at supercritical pressures are studied by solving the full compressible Navier–Stokes equations using direct numerical simulation. With a heated isothermal wall, the wall temperature sets such that the flow temperature varies through the pseudo-critical temperature, and thus pseudo-boiling phenomena occur within the boundary layers. The pseudo-boiling process induces strongly nonlinear real-fluid effects in the flow and interacts with near-wall turbulence. The peculiar abrupt density variations through the pseudo-boiling process induce significant near-wall density fluctuations , within the heated transcritical turbulent boundary layers. The large near-wall density fluctuations induce a turbulent mass flux ,, and the turbulent mass flux amplifies the Favre-averaged velocity fluctuations , in the near-wall predominant structures of streamwise low-speed streaks that are associated with the ejection (where , and ,), while reducing the velocity fluctuations in the high-speed streaks associated with the sweep (, and ,). Although the near-wall low-speed and high-speed streak structures dominate the Reynolds-shear-stress generation, the energized Favre-averaged velocity fluctuations in the low-speed streaks enhance both the mean-density- and density-fluctuation-related Reynolds shear stresses (, and ,) in the ejection event and, as a result, alter the Reynolds-shear-stress profile. The large density fluctuations also alter the near-wall viscous-stress profile and induce a near-wall convective flux , (due to non-zero ,). The changes in the contributions in the stress-balance equation result in a failure of existing velocity transformations to collapse to the universal law of the wall. The large density fluctuations also greatly contribute to the turbulent kinetic energy budget, and especially the mass flux contribution term becomes noticeable as one of the main positive terms. The unheated non-transcritical turbulent boundary layers show a negligible contribution of the real-fluid effects, and the turbulence statistics agree well with the statistics of an incompressible constant-property turbulent boundary layer with a perfect-gas law.","
Heated transcritical and unheated non-transcritical turbulent boundary layers at supercritical pressures
"
" 20 February 2019, 25 April 2019","Giovanni Iacobello,Stefania Scarsoglio,J. G. M. Kuerten,Luca Ridolfi","A temporal complex network-based approach is proposed as a novel formulation to investigate turbulent mixing from a Lagrangian viewpoint. By exploiting a spatial proximity criterion, the dynamics of a set of fluid particles is geometrized into a time-varying weighted network. Specifically, a numerically solved turbulent channel flow is employed as an exemplifying case. We show that the time-varying network is able to clearly describe the particle swarm dynamics, in a parametrically robust and computationally inexpensive way. The network formalism enables us to straightforwardly identify transient and long-term flow regimes, the interplay between turbulent mixing and mean flow advection and the occurrence of proximity events among particles. Thanks to their versatility and ability to highlight significant flow features, complex networks represent a suitable tool for Lagrangian investigations of turbulent mixing. The present application of complex networks offers a powerful resource for Lagrangian analysis of turbulent flows, thus providing a further step in building bridges between turbulence research and network science.","
Lagrangian network analysis of turbulent mixing
"
" 20 February 2019, 25 April 2019","E. Durán Venegas,S. Le Dizès","New solutions describing the interaction of helical pairs of counter-rotating vortices are obtained using a vortex filament approach. The vortices are assumed to have a small core size allowing the calculation of the self-induced velocities from the Biot–Savart law using the cutoff theory. These new vortex structures do not possess any helical symmetry but they exhibit a spatial periodicity and are stationary in a rotating and translating frame. Their properties, such as radial deformation, frame velocity and induced flow, are provided as a function of the four geometric parameters characterizing each solution. Approximate solutions are also obtained when the mutual interaction is weak. This allows us to provide explicit expressions for the rotation and translation velocities of the structure in this limit. First-order corrections describing helix deformation are also calculated and used for comparison with the numerical results. The variation of the vortex core size induced by the helix deformation is also analysed. We show that these variations have a weak effect on the shape and characteristics of the solutions, for the range of parameters that we have considered. The results are finally applied to rotor wakes. It is explained how these solutions could possibly describe the far wake of an helicopter rotor in vertical flight.","
Generalized helical vortex pairs
"
" 20 February 2019, 25 April 2019","Jean Rabault,Miroslav Kuchta,Atle Jensen,Ulysse Réglade,Nicolas Cerardi","We present the first application of an artificial neural network trained through a deep reinforcement learning agent to perform active flow control. It is shown that, in a two-dimensional simulation of the Kármán vortex street at moderate Reynolds number (,), our artificial neural network is able to learn an active control strategy from experimenting with the mass flow rates of two jets on the sides of a cylinder. By interacting with the unsteady wake, the artificial neural network successfully stabilizes the vortex alley and reduces drag by approximately 8 %. This is performed while using small mass flow rates for the actuation, of the order of 0.5 % of the mass flow rate intersecting the cylinder cross-section once a new pseudo-periodic shedding regime is found. This opens the way to a new class of methods for performing active flow control.","
Artificial neural networks trained through deep reinforcement learning discover control strategies for active flow control
"
" 20 February 2019, 25 April 2019",Kengo Deguchi,"The large Reynolds number asymptotic approximations of the neutral curve of Taylor–Couette flow subject to an axial uniform magnetic field are analysed. The flow has been extensively studied since the early 1990s as the magneto-rotational instability (MRI) occurring in the flow may explain the origin of the instability observed in some astrophysical objects. Elsewhere, the ideal approximation has been used to study high-speed flows, which sometimes produces paradoxical results. For example, ideal flows must be completely stabilised for a sufficiently strong applied magnetic field. On the other hand, the vanishing magnetic Prandtl number limit of the stability should be purely hydrodynamic, so instability must occur when Rayleigh’s stability condition is violated. Our first discovery is that this apparent contradiction can be resolved by showing the abrupt appearance of the hydrodynamic instability at a certain critical value of the magnetic Prandtl number. This is found using the asymptotically large Reynolds number limit but with a sufficiently long wavelength to retain some diffusive effects. Our second finding concerns the so-called Velikhov–Chandrasekhar paradox, namely the mismatch of the zero external magnetic field limit of the Velikhov–Chandrasekhar stability criterion and Rayleigh’s stability criterion. We show for fully wide-gap cases that the high Reynolds number asymptotic analysis of the MRI naturally yields the simple stability condition that describes smooth transition from Rayleigh to Velikhov–Chandrasekhar stability criteria with increasing Lundquist number.","
High-speed standard magneto-rotational instability
"
" 20 February 2019, 25 April 2019","Fan Yang,Bhargav Rallabandi,Howard A. Stone","Classical diffusiophoresis describes the motion of particles in an electrolyte or non-electrolyte solution with an imposed concentration gradient. We investigate the autophoresis of two particles in an electrolyte solution where the concentration gradient is produced by either adsorption or desorption of ions at the particle surfaces. We find that when the sorption fluxes are large, the ion concentration near the particle surfaces, and consequently the Debye length, is strongly modified, resulting in a nonlinear dependence of the phoretic speed on the sorption flux. In particular, we show that the phoretic velocity saturates at a finite value for large desorption fluxes, but depends superlinearly on the flux for adsorption fluxes, where both conclusions are in contrast with previous results that predict a linear relationship between autophoretic velocity and sorption flux. Our theory can also be applied to precipitation/dissolution and other surface chemical processes.","
Autophoresis of two adsorbing/desorbing particles in an electrolyte solution
"
" 20 February 2019, 25 April 2019","Thibault Vieu,Innocent Mutabazi","We formulate the Oldroyd-B model for viscoelastic fluids in terms of magnetic-like fields obeying a set of equations analogous to Maxwell’s equations. In the limit of infinite relaxation time for the polymer, the polymeric stress tensor can be identified with the Maxwell stress tensor of a magnetic field. Away from this asymptotic case, the stress tensor of the polymer cannot be decomposed in terms of a tensor product of a magnetic field any more and several theoretical issues arise. We show that the analogy between the Oldroyd-B model and Maxwell’s equations can still be rigorously extended provided that one defines three magnetic-like fields obeying Maxwell’s equations with magnetic currents and charges. This solves the theoretical caveats and leads to a better understanding of the viscoelastic instability. In particular, we evidence a gauge symmetry which unifies some previous works, and we investigate several gauge choices. As an illustration we apply our method to viscoelastic Taylor–Couette flow but this theory of ‘viscoelastic fields’ is general and may be useful in a large variety of viscoelastic flows. The present study may also be of interest from the electromagnetic point of view, as it provides real systems possessing magnetic-like charges (monopoles) and currents.","
A theory of magnetic-like fields for viscoelastic fluids
"
